order_id,order_date,origin_port,carrier,tpt,service_level,ship_ahead_day_count,ship_late_day_count,customer,product_id,plant_code,destination_port,unit_quantity,weight
1.4473026937e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555555555_28,1676592,PLANT03,PORT09,80734,46.16
1.4472030257e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1689548,PLANT03,PORT09,336,1.4895957526204335
1.4471624727e9,2013-05-26,PORT04,V444_1,1,DTD,3,0,V5555555_19,1680210,PLANT03,PORT09,1322,1.9798238057956454
1.4472656067e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V5555555_22,1697872,PLANT03,PORT09,329,1.1148327314521742
1.4471757477e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V5555555_22,1676566,PLANT03,PORT09,535,2.518890310471552
1.4473844257e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1688292,PLANT03,PORT09,258,0.4384074716799486
1.4472512137e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668607,PLANT03,PORT09,638,9.48
1.4471557317e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V5555555_22,1692949,PLANT03,PORT09,327,0.21239771294852208
1.4471574717e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1682769,PLANT03,PORT09,340,6.996071941152403
1.4473296907e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555_4,1658532,PLANT03,PORT09,338,0.8192729619272964
1.4473831937e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1654251,PLANT03,PORT09,422,11.68
1.4472657297e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55_13,1682784,PLANT03,PORT09,355,2.4466671114764713
1.4474232067e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1660585,PLANT03,PORT09,735,52.55553282879932
1.4472243227e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1655818,PLANT03,PORT09,601,0.8756526648127623
1.4471457667e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1688292,PLANT03,PORT09,316,0.10960186791998715
1.4471833287e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555555_3,1677229,PLANT12,PORT09,324,3.0939393939393947
1.4471469237e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555_26,1699952,PLANT03,PORT09,1459,45.40359105528905
1.4472405497e9,2013-05-26,PORT04,V444_1,1,DTD,3,0,V5555555_19,1697084,PLANT03,PORT09,2424,8.15855267323577
1.4471465587e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1660580,PLANT03,PORT09,517,26.04
1.4473354827e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555555_3,1689547,PLANT03,PORT09,641,29.79450874925531
1.4473870417e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V55555555555555_8,1688587,PLANT03,PORT09,248,0.9120762894031302
1.4472111557e9,2013-05-26,PORT04,V44_3,2,CRF,3,0,V55555_2,1689551,PLANT03,PORT09,285,0.1492716239922353
1.4471634407e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1675654,PLANT03,PORT09,3248,25.2
1.4472544147e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,408,1.3524228290167586
1.4473915207e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555_26,1662238,PLANT03,PORT09,265,0.8350476190476189
1.4472400377e9,2013-05-26,PORT04,V444_1,1,DTD,5,0,V55555555555555_8,1688610,PLANT03,PORT09,944,85.23829965614405
1.4471672567e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1682805,PLANT03,PORT09,254,0.5154898487973945
1.4471827197e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1677884,PLANT03,PORT09,650,2.94
1.4472185467e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_14,1696747,PLANT03,PORT09,904,30.419629262921905
1.4474116107e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555555_5,1672712,PLANT03,PORT09,428,11.48
1.4473551397e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,442,4.618000586338317
1.4471845967e9,2013-05-26,PORT04,V44_3,0,CRF,3,0,V55555555_32,1699268,PLANT03,PORT09,1443,2.653359698893519
1.4473735337e9,2013-05-26,PORT04,V444_1,1,DTD,5,0,V55555555555555_8,1690617,PLANT03,PORT09,321,0.9128927848900368
1.4473390907e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,340,1.9209192745839037
1.4472451057e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V5555555_22,1692948,PLANT03,PORT09,1677,5.951939725371899
1.4474232007e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1680562,PLANT03,PORT09,421,1.4852529702024069
1.4473609187e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555555_5,1689546,PLANT03,PORT09,952,51.637809150110336
1.4471451117e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V5555555_22,1672661,PLANT03,PORT09,361,1.4838765383368482
1.4473735287e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,551,0.8923510353570904
1.4473264757e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1697085,PLANT03,PORT09,2280,8.97318316135683
1.4471337557e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555_26,1664067,PLANT03,PORT09,9918,81.99495576935674
1.4472405277e9,2013-05-26,PORT04,V444_1,1,DTD,3,0,V5555555_19,1697084,PLANT03,PORT09,657,1.3597587788726282
1.4473190517e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1689544,PLANT03,PORT09,303,0.4290486309431002
1.4471758177e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_14,1689469,PLANT03,PORT09,1309,18.416436242042316
1.4473444477e9,2013-05-26,PORT04,V444_1,1,DTD,5,0,V55555555555555_8,1689551,PLANT03,PORT09,370,3.731790599805883
1.4472836797e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555_4,1674853,PLANT03,PORT09,538,21.92
1.4472370187e9,2013-05-26,PORT04,V444_1,1,DTD,5,0,V55555555555555_8,1689546,PLANT03,PORT09,343,7.662544164301477
1.4474214137e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V55555555555555_8,1688629,PLANT03,PORT09,436,13.452398300871073
1.4472885007e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555555555_29,1688589,PLANT03,PORT09,323,4.567551104150948
1.4473058397e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V55555_2,1657064,PLANT03,PORT09,332,0.465487313262203
1.4473401357e9,2013-05-26,PORT04,V44_3,4,CRF,0,0,V555555555555555_29,1699419,PLANT03,PORT09,9853,29.30972103210667
1.4473679677e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555_26,1660897,PLANT03,PORT09,1321,7.94199110860769
1.4471493827e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1689548,PLANT03,PORT09,328,0.07447978763102167
1.4473170657e9,2013-05-26,PORT04,V444_1,1,DTD,5,0,V55555555555555_8,1689550,PLANT03,PORT09,374,5.622351095334869
1.4473208357e9,2013-05-26,PORT04,V444_1,1,DTD,0,0,V5555555_22,1696754,PLANT03,PORT09,308,0.5337087822334611
1.4474032357e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55555555_5,1655818,PLANT03,PORT09,2275,6.06
1.4474059627e9,2013-05-26,PORT04,V44_3,0,CRF,0,0,V555555555555555_29,1699836,PLANT03,PORT09,3864,33.86
1.4473699137e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_27,1655723,PLANT03,PORT09,400,5.302120825016615
1.4474064887e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V5555555_22,1676566,PLANT03,PORT09,490,2.518890310471552
